"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Lung",157465,65.8,55.5,78.2,130205,67.7,56.7,81.0,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","CRC",147530,43.7,34.0,55.8,120680,43.2,33.1,56.1,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","CRC",157465,37.3,29.1,47.6,130205,36.9,28.2,48.2,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Mela",147530,56.6,45.6,70.0,120680,58.6,46.8,73.3,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Mela",157465,30.4,22.7,40.5,130205,32.5,24.0,43.9,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Uterine",157465,29.4,22.4,38.6,130205,26.4,19.6,35.9,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Lymph",147530,27.4,19.9,37.4,120680,29.4,21.1,40.5,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Lymph",157465,16.4,11.2,24.1,130205,15.7,10.4,23.9,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Urinary",147530,19.4,13.1,28.2,120680,19.8,13.2,29.4,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Urinary",157465,"","","",130205,"","","","","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Kidney",147530,16.3,10.8,24.3,120680,16.9,11.1,25.7,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Kidney",157465,8.7,5.2,14.7,130205,9.7,5.8,16.6,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Thyroid",147530,"","","",120680,"","","","","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Thyroid",157465,14.7,9.3,22.6,130205,15.1,9.1,24.2,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Liver",147530,14.9,9.5,22.9,120680,13.1,7.7,21.7,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Liver",157465,"","","",130205,"","","","","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Male","Pancreas",147530,16.6,10.9,24.8,120680,17.7,11.5,26.8,"","","","",12165,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Female","Pancreas",157465,12.5,8.1,19.2,130205,13.2,8.4,20.8,"","","","",12320,"","","","","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
"A0629","Shasta","Redding, Shasta Lake","https://www.example.com?address=A0629","Both","AllSite",304995,523.9,500.4,548.4,250885,526.8,501.8,552.9,"","","","",24485,416.9,312.4,555.4,"","","","",2,60999,3.5,15.5,5.7,82.5,0.8,4.0,7.9,4.0
