Zone,Years,TotalPop,PctMinority,PctHispanic,PctBlackNH,PctRural,PctBelowPov,PctEducLHS,PctEducBch,PctNoHealthIns
B0002,05yrs,52512,23.85,2.86,18.79,76.04,21.98,20.69,10.85,14.15
B0002,10yrs,52512,23.85,2.86,18.79,76.04,19.37,21.71,11.42,14.16
B0004,05yrs,70063,41.22,2.32,37.63,67.26,28.3,19.91,12.6,18.13
B0004,10yrs,70063,41.22,2.32,37.63,67.26,27.89,22.48,11.8,17.97
B0010,05yrs,63010,45.62,1.66,41.15,64.04,27.93,17.03,16.69,15.83
B0010,10yrs,63010,45.62,1.66,41.15,64.04,27.47,18.84,17.53,15.82
B0011,05yrs,72238,11.89,2.4,7.04,40.56,13.12,14.84,17.03,13.72
B0011,10yrs,72238,11.89,2.4,7.04,40.56,13.84,16.59,15.88,13.83
B0013,05yrs,58939,31.75,7.42,18.57,10.23,19.09,18.72,14.12,12.5
B0013,10yrs,58939,31.75,7.42,18.57,10.23,15.76,19.18,13.53,12.55
B0016,05yrs,58694,44.77,1.62,41.8,83.61,17,18.8,16.57,12.49
B0016,10yrs,58694,44.77,1.62,41.8,83.61,17.54,21.09,15.65,12.51
B0019,05yrs,58402,41.52,1.44,38.46,61.67,26.44,19.85,13.65,16.49
B0019,10yrs,58402,41.52,1.44,38.46,61.67,25.01,21.91,13.36,16.58
B0024,05yrs,78071,40.17,4.38,31.71,22.63,20.55,23.42,11.2,15.55
B0024,10yrs,78071,40.17,4.38,31.71,22.63,20.02,26.69,10.27,15.58
B0026,05yrs,50889,37.38,2.91,28.32,82.47,23.2,18.27,13.66,14.54
B0026,10yrs,50889,37.38,2.91,28.32,82.47,21.78,19.59,13.07,14.57
B0030,05yrs,68026,57.59,3.57,52.26,18.08,17.74,16.41,16.02,13.02
B0030,10yrs,68026,57.59,3.57,52.26,18.08,16.47,17.1,15.09,12.99
B0032,05yrs,57175,47.67,2.11,44.23,47.25,19.72,19.7,16.05,11.7
B0032,10yrs,57175,47.67,2.11,44.23,47.25,18.05,21.17,15.08,11.88
B0034,05yrs,95757,25.2,1.92,21.62,55.03,23.21,26,11.37,15.14
B0034,10yrs,95757,25.2,1.92,21.62,55.03,21.91,28.24,11.29,15.12
B0035,05yrs,72514,37.65,3.32,32.65,73.12,21.84,21.04,14.69,16.92
B0035,10yrs,72514,37.65,3.32,32.65,73.12,22.45,21.1,14.81,17.14
B0038,05yrs,57999,20.16,2.38,14.22,54.62,17.32,23.96,12.26,13.17
B0038,10yrs,57999,20.16,2.38,14.22,54.62,17.55,24.18,12.18,13.17
B0043,05yrs,73240,39.24,3.14,31.79,28.14,19.88,22.29,13.61,15.27
B0043,10yrs,73240,39.24,3.14,31.79,28.14,20.09,23.22,13.16,15.29
B0044,05yrs,73302,36.36,1.23,32.87,60.31,24.94,25.1,11.02,20.2
B0044,10yrs,73302,36.36,1.23,32.87,60.31,25.6,27.53,10.53,20.26
B0047,05yrs,68969,40.28,1.45,37.63,68.42,29.66,23.74,12.21,23.69
B0047,10yrs,68969,40.28,1.45,37.63,68.42,27.57,25.25,11.93,23.67
B0049,05yrs,63009,42.39,2.22,37.6,47.1,30.68,14.48,30.51,14.74
B0049,10yrs,63009,42.39,2.22,37.6,47.1,28.1,14.94,29.49,14.75
B0051,05yrs,93012,22.76,2.02,17.21,61.94,18.48,18.88,14.5,13.96
B0051,10yrs,93012,22.76,2.02,17.21,61.94,17.37,20.18,13.43,13.99
B0058,05yrs,96318,22.05,3.79,13.16,24.22,15.36,24.43,16.51,13.98
B0058,10yrs,96318,22.05,3.79,13.16,24.22,15.45,25.51,15.78,13.99
B0059,05yrs,52160,35.14,2.05,30.59,49.57,17.24,20.82,13.87,13.64
B0059,10yrs,52160,35.14,2.05,30.59,49.57,17.7,23.09,12.98,13.7
B0066,05yrs,83384,44.8,1.58,41.13,48.17,28,24.06,13.09,14.05
B0066,10yrs,83384,44.8,1.58,41.13,48.17,27.73,25.05,12.83,14
B0067,05yrs,102680,23.91,2.98,18.86,53.24,16.95,15.82,25.9,12.46
B0067,10yrs,102680,23.91,2.98,18.86,53.24,17.3,15.88,24.37,12.55
B0071,05yrs,52334,27.78,7.21,13.91,49.9,14.12,11.63,18.53,10.98
B0071,10yrs,52334,27.78,7.21,13.91,49.9,13.81,12.7,18.13,10.95
B0072,05yrs,52780,33.83,5.02,26.38,11.49,12.6,12.94,20.55,12.81
B0072,10yrs,52780,33.83,5.02,26.38,11.49,12.73,13.93,19.85,12.81
